Property ID,Usage,Admininstrated by,Name,Ward Number,Address,Unique ID
,,,,,,
1000450100220,TEMPLE,TEMPLE,SARVA SAKTHI MARIYAMMAN TEMPLE,45,R K NAGAR,1000451600002
1000450100843,TEMPLE,TEMPLE,KAMACHIAMMAN TEMPLE,45,RAJIV GANDHI SALAI,1000451600003
1000450100839,INDUSTRIAL,PRIVATE,INDIAN INDUSTRIES,45,NEW MULLAI NAGAR,1000451600004
1000450101052,HOSPITAL,STATE,VETERINARY HOSPITAL,45,KANARAJAPUR 3RD STREET,1000451600005
1000450100709,RESIDENTIAL,CORPORATION,CORPORATION QUARTERS,45,SANGANOOR MAIN ROAD,1000451600006
1000450100705,TEMPLE,TEMPLE,MARIAMMAN TEMPLE,45,KAMARAJAPURAM 2ND STREET,1000451600007
1000450100927,TEMPLE,TEMPLE,PALLIVASAL,45,VEDHAMBAL NAGAR,1000451600008
1000450100866,TEMPLE,TEMPLE,THANDU MARIAMMAN TEMPLE,45,PATHI GOUNDER THOTTAM,1000451600009
1000450100327,TEMPLE,TEMPLE,SRI SAKTHI VINAYAGAR TEMPLE,45,PATHI GOUNDER THOTTAM,1000451600010
1000450100730,TEMPLE,TEMPLE,AATHI VINAYAGAR TEMPLE,45,TNEB COLONY,1000451600011
1000450101090,INDUSTRIAL,PRIVATE,HARI KRISHNA INDUSTRIES,45,SANGANOOR MAIN ROAD,1000451600012
1000450101018,INDUSTRIAL,PRIVATE,THOMAS THOPPIL ENTERPRISES,45,KANNAN NAGAR,1000451600013
1000450101296,TEMPLE,TEMPLE,MUTHU MARIAMMAN TEMPLE,45,THANDAL RAMAN  STREET,1000451600014
1000450100836,INDUSTRIAL,PRIVATE,SELVI TEXTILES,45,PATHI GOUNDER THOTTAM,1000451600015
1000450101110,MARRIAGE HALL,PRIVATE,GIRINATH MARRIAGE HALL,45,KANNAN NAGAR,1000451600016
1000450101092,TEMPLE,TEMPLE,MARIAMMAN TEMPLE,45,ANNA NAGAR (I) STREET,1000451600017
1000450100005,COMMERCIAL,PRIVATE,INDIAN OVERSES BANK,45,S P KANNUSAMY STREET,1000451600018
1000450100996,TEMPLE,TEMPLE,MURUGAN TEMPLE,45,PERIYASAMY LAYOUT,1000451600019
1000450100684,TEMPLE,TEMPLE,SAKTHI MARIAMMAN TEMPLE,45,PERIYASAMY LAYOUT,1000451600020
1000450101298,TEMPLE,TEMPLE,PATTATHARASI AMMAN TEMPLE,45,AYYAVU STREET,1000451600021
1000450101300,TEMPLE,TEMPLE,MAMALIAMMAN TEMPLE,45,S P KANNUSAMY STREET,1000451600022
1000450100001,EDUCATIONAL,CORPORATION,CORPORATION SCHOOL,45,SWAMY STREET,1000451600023
1000450100625,OFFICE,CORPORATION,VILLAGE ADMINSTRATIVE OFFICE,45,S P KANNUSAMY STREET,1000451600024
1000450100353,OFFICE,CORPORATION,GOVERNMENT OFFICE,45,S P KANNUSAMY STREET,1000451600025
1000450100329,OFFICE,CORPORATION,COUNCILLOR OFFICE,45,S P KANNUSAMY STREET,1000451600026
1000450100526,TEMPLE,TEMPLE,VINAYAGAR TEMPLE,45,S P KANNUSAMY STREET,1000451600027
1000450100526,TEMPLE,TEMPLE,KONIYAMMAN TEMPLE,45,S P KANNUSAMY STREET,1000451600028
1000450101329,TEMPLE,TEMPLE,MUTHU MARIAMMAN TEMPLE,45,NARAYANASAMY LAYOUT,1000451600029
1000450101329,OTHERS,CORPORATION,CORPORATION MOTOR ROOM,45,NARAYANASAMY LAYOUT,1000451600030
1000450101365,BURIAL GROUND,CORPORATION,BURIAL GROUND,45,NARAYANASAMY LAYOUT,1000451600031
1000450100653,TEMPLE,TEMPLE,SANTHANA MARIAMMAN TEMPLE,45,NARAYANASAMY LAYOUT,1000451600032
1000450101455,TEMPLE,TEMPLE,KAMACHIAMMAN TEMPLE,45,KAMACHI NAGAR,1000451600033
1000450100286,EDUCATIONAL,PRIVATE,SANGAMAM NURSERY & PRIMARY SCHOOL,45,KAMACHI NAGAR,1000451600034
1000450101379,INDUSTRIAL,PRIVATE,KATHRUEL INDUSTRIAL,45,KUMARASAMY ST/ THILAI NAGAR,1000451600035
1000450101143,COMMERCIAL,CORPORATION,CORPORATION BUILDING,45,NARAYANASAMY GOUNDER STREET,1000451600036
1000450100516,EDUCATIONAL,PRIVATE,SANGAMAM NURSERY & PRIMARY SCHOOL,45,NARAYANASAMY GOUNDER STREET,1000451600037
1000450101467,TEMPLE,TEMPLE,VINAYAGAR TEMPLE,45,S P KANNUSAMY STREET,1000451600038
1000450100517,COMMERCIAL,CORPORATION,CORPORATION BUILDING,45,NARAYANASAMY GOUNDER STREET,1000451600039
1000450100274,TEMPLE,TEMPLE,MARIAMMAN TEMPLE,45,KANNAPPA NAGAR 10TH  STREET,1000451600040
1000450100282,TEMPLE,TEMPLE,PALLIVASAL,45,LAKSHMIAMMAL STREET,1000451600041
1000450101351,EDUCATIONAL,PRIVATE,THE JUNGLE EVANGELICAL MISSION SCHOOL,45,ARUL NAGAR,1000451600042
1000450100459,TEMPLE,TEMPLE,KAMACHIAMMAN TEMPLE,45,KANNAPPA NAGAR 6TH STREET,1000451600043
1000450100440,OFFICE,PRIVATE,AIADMK  OFFICE,45,KANNAPPA NAGAR MAIN STREET,1000451600044
1000450100049,TEMPLE,TEMPLE,PUTHUMARIYAMMAN TEMPLE,45,ANNA NAGAR,1000451600045
1000450100039,ABANDONED,CENTRAL,RAILWAY SUBWAY OFFICE,45,THAIR ETTERY ROAD,1000451600046
1000450100386,TEMPLE,TEMPLE,VINAYAGAR TEMPLE,45,ARUL NAGAR,1000451600047
1000450101656,OTHERS,PRIVATE,SHED,45,THAIR ETTERY ROAD,1000451600048
1000450101657,OTHERS,CORPORATION,MGR SATHUNAVU KOODAM,45,THANGAM NAGAR,1000451600049
1000450101658,TEMPLE,TEMPLE,ALL SANITS CSI MALAYALAM CHURCH,45,THANGAM NAGAR,1000451600050
1000450101224,OTHERS,CORPORATION,MGR SATHUNAVU KOODAM,45,BALUSAMY NAGAR,1000451600051
1000450100361,COMMERCIAL,STATE,RATIONSHOP,45,THAIR ETTERY ROAD,1000451600052
1000450101496,TEMPLE,TEMPLE,MARIAMMAN TEMPLE,45,THAIR ETTERY ROAD,1000451600053
1000450101469,COMMERCIAL,PRIVATE,SBI BANK,45,S P KANNUSAMY STREET,1000451600054
